Term,Synonyms,Definition
flaccid,,"limp. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
flagellate,,"bearing one or more flagella. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
flagellum,flagella,"long, cylindrical, cytoplasmic extensions from cells, conferring motility on the cell; structurally with 9 peripheral doublets and two central microtubular strands. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
flared,,"a term used to describe the laterally extended periphery of the outermost wall of epithallial cells in lithothamnion, exilicrusta and members of sporolithaceae, seen as two wings in vs (fig.85c) (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
flat thallus,,"a thallus of generally flattened appearance lacking protuberances etc.; cf. smooth thallus which applies to microscopic features (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
fleshy,,"succulent, firm, smooth; not slimy or gelatinous. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
flexuous,,"bent alternately in opposite directions; zigzag. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
float,,"an air-filled vesicle that serves for flotation as found in sargassum (see air bladder). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
floridean starch,,"an amylopectin storage product of red algae found in granules outside the plastid. floristic. the geographical assemblage of seaweeds in a specific area. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
foliaceous,,"leaf-like. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
foliaceous ,foliar,"leaf-like or broad and flat. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
foliose,,"with a broad, flat blade. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
foot,,"the penetrating part of a parasitic alga. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
foot cell,,"lower cell formed by division of auxiliary cell into two during post-fertilization development. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
forcipate,,"forked and incurved like crab claws. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
form ,forma,"a taxonomic category usually differentiated by a very minor character; the lowest taxonomic category. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
free-floating,,"floating at or under the surface of water; not attached. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
free-living,,"loose-lying or drift thalli. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
frond,,"that part of the thallus other than the attachment. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
fruticose,,"shrubby or with numerous branches. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
fucalean,,"pertaining to the fucales in structure or reproduction. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
fucosan,,"a substance which accumulates in cells, considered to be a by-product of metabolism which has tannin-like properties. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
fucoxanthin,,"a brownish carotenoid pigment in plastids of brown algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
furcate,,"forked or divided into 2, and usually in equal parts. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
fusiform,,"spindle-shaped; elongated and tapered toward both ends. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
fusion cell,,"a cell formed from amalgamated supporting cells, and sometimes additional cells, after presumed karyogamy, subsequently giving rise to gonimoblast filaments (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
galactan,,"a complex carbohydrate composed of bonded sugar molecules (polysaccharides), which is found in algae, mosses, lichens, and wood. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
gametangia,,"the sex organs which contain the gametes. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
gametangium,,"a cell producing one or more gametes. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
gamete,,"a sexual cell capable of uniting with another sexual cell. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
gametic meiosis,,"meiosis resulting in direct formation of gametes in a diplontic life history. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
gametogenesis,,"the process by which gametes are formed. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
gametophore,,"the portion of an algal filament that produces gametes; also, a structure in which gametangia are formed. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
gametophyte,,"phase of life history, either haploid or diploid, which bears gametangia. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
ganglia,,"stellate multi-branched cells or clusters of interconnected cells in the medulla of certain red algae. gen bank. the open access sequence database for nucleotide sequences and their protein translations. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
gelatinous,,"slimy and jelly-like (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
generation,,"one of the two phases (gametophyte or sporophyte) in the life history of a plant. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
geniculum,,"a group of completely or partially noncalcified cells located below every intergeniculum; in geniculate corallines (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
geniculum ,genicula,"an uncalcified joint in articulated coralline red algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
genus,,"a taxonomic group of one or more related species, separable from other such groups. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
genus ,genera,"the principal category of taxa intermediate in rank between family and species. germination disc. in red algae, a group of cells that form within the original spore wall. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
germination disc,,"pattern of cells developing within original spore wall (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
gland cell,,"a refractive cell that may store halogenated compounds. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
globose,,"spherical or globular. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
globule,,"in charophyceae, a male reproductive structure (antheridium) that includes both sterile and fertile cells. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
glossy,,"thallus texture smooth and shiny; cf. grainy, matt (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
gonimoblast,,"only in florideophycidae; tissue which develops on the female plant after fertilization and which ultimately produces carposporangia. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
gonimoblast ,gonimoblastic filaments,"filaments in advanced red algae that arise after fertilization and produce carposporangia. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
gonimoblast filaments,,"filaments, usually produced from fusion cell, that produce carposporangia (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
gonimoblast initial,,"the first cell arising from a fertilized carpogonium or diploidized auxiliary cell, which develops into the gonimoblast. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
gonimolobe,,"in red algae, an element of a gonimoblast that arises from an initial cell and produces carposporangia; usually several occur in a cystocarp. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
grainy,,"thallus texture rough but slightly shiny; cf. glossy, matt (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
growth band ,,"an area where cell division is continual; also a localized region functioning to expand a thallus (see meristem). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
habit,,"the morphological form of a thallus. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
habitat,,"the environment in which an organism lives. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
haematochrome,,"a red- to orange-colored carotenoid pigment. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
haematoxylin,,"stain used to show up nuclei and other cellular structures. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
hair,,"a long, single-celled or multicellular colorless end of a filament. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
hair cell,,"the basal cell of a hair attached to the cortex or surface. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
halophyte,,"a salt-tolerant flowering plant. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
haplodiplont ,haplodiplontic,"a life history with free-living diploid (sporophyte) and haploid gametophytic thalli. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
haploid,,"with a single set of chromosomes in each nucleus. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
haplont,,"an organism in which the vegetative stage is haploid and the zygote divides by meiosis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
haplontic,,"when the haploid phase is prominent and the diploid phase consists only of the zygote cell. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
haplostichous,,"thallus construction of free or consolidated filaments but lacking intercalary longitudinal cell divisions. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
haptera,hapteral | hapteron,"branched, usually relatively robust, attachment organs (especially in the laminariales and certain fucales). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
hapteroid,,"containing lobed, branched, or finger-like extensions of a cell that can attach to adjacent structures. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
haustorial,,"a clear absorptive or digestive parasitic filament. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
hecatonemoid,,"said of a thallus which resembles hecatonema (discoid, distromatic). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
